item,parent,original_point_cloud_count,minimal_bounding_box_volume,mesh_volume
Stones,root
BatchA1,Stones
fb14e1dd-19ed-4653-b5f6-fa92079c5b46,BatchA1,,,
5f1608a9-c7c7-423e-9283-531f1b235475,BatchA1,,,
35754495-a5f0-4246-a9b5-6eea9a585aa4,BatchA1,,,
11c3b4c7-86e5-4527-b888-73d2d61068af,BatchA1,,,
61ababef-fd26-40da-9a5e-27c0db2e2e79,BatchA1,,,
096846bf-e5e2-4830-a858-e50d38b85d04,BatchA1,,,
a5b34c5e-0399-492c-9b87-3965a7ab99d8,BatchA1,,,
55b5be29-a3b3-4e99-b5c1-bd31b70b9598,BatchA1,,,
6763f056-6ff8-4d6f-a4f5-237eaa7c6f39,BatchA1,,,
6896438c-6124-49a8-a9f9-3a9b8ef443cd,BatchA1,,,
90073fea-3f93-44d2-9083-c67a3b89cbec,BatchA1,,,
59ddf153-35b3-48e7-9433-bc807740962d,BatchA1,,,
39d13779-ed0e-4f58-9f2b-71c7573a4379,BatchA1,,,
2654c373-6394-410a-8821-88b916b145ad,BatchA1,,,
d18812e8-9cc1-4992-b56b-571ad1f16832,BatchA1,,,
8cd9e3dc-ace1-45ea-aba6-4fa145dea5c6,BatchA1,,,
014eb536-64bb-4aa2-a6b4-4e1d04f1d9f8,BatchA1,,,
b2f18eb7-d7c1-4407-9e7a-3425ed5cd57d,BatchA1,,,
c81f8518-83c5-4c09-a134-4e384d9ebced,BatchA1,,,
d03c55eb-100e-43a2-9d06-6c4e9e7557b5,BatchA1,,,
Basalt,Stones
Batch42,Basalt
623f4c10-6f60-4aae-a4d4-e8643efd77c4,Batch42,,,
d5681bc9-1369-44f9-953b-0f22d06cf842,Batch42,,,
b27bbead-690a-413b-98be-d304441716d3,Batch42,,,
9779d9de-2f7c-4d89-a10e-27a31a96459e,Batch42,,,
8512e712-47db-4dd4-b0a6-41a4c93bb66a,Batch42,,,
06a5545c-f186-47ff-a81f-7d3ce13b26da,Batch42,,,
1178806b-36a8-486e-9d5e-b367cefa1b9b,Batch42,,,
68f970a6-fa5c-40f0-aaea-67606c8981ae,Batch42,,,
root,
